race_id,split,year,event,session,expected_driver_count,fastf1_participant_count,car_rows,position_rows,driver_hours_car,driver_hours_position,drivers_with_telemetry_coverage_pass,telemetry_coverage_status,source_retrieval_status,error,fastf1_missing_expected_drivers
2020:Abu Dhabi Grand Prix:Race,train,2020,Abu Dhabi Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Bahrain Grand Prix:Race,validation,2021,Bahrain Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Emilia Romagna Grand Prix:Race,validation,2021,Emilia Romagna Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Portuguese Grand Prix:Race,validation,2021,Portuguese Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Monaco Grand Prix:Race,validation,2021,Monaco Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Azerbaijan Grand Prix:Race,validation,2021,Azerbaijan Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:French Grand Prix:Race,validation,2021,French Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Austrian Grand Prix:Race,validation,2021,Austrian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:British Grand Prix:Race,validation,2021,British Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Hungarian Grand Prix:Race,validation,2021,Hungarian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Belgian Grand Prix:Race,validation,2021,Belgian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Dutch Grand Prix:Race,validation,2021,Dutch Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Italian Grand Prix:Race,validation,2021,Italian Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Mexico City Grand Prix:Race,validation,2021,Mexico City Grand Prix,Race,20,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
2021:Abu Dhabi Grand Prix:Race,validation,2021,Abu Dhabi Grand Prix,Race,19,0,0,0,0,0,0,INCOMPLETE_OR_UNVERIFIED,FAILED,RateLimitExceededError: any API: 500 calls/h,
